pulsar,jname,glitch_no,mjd,df_f,df_f_err,df1_f1,df1_f1_err,reference
J0007+7303,0007+7303,1,54953.0,554.0,1.0,1.0,0.1,"Abdo+2012 [ awd+12 ], also in Ray+2011 [ rkp+11 ]"
J0007+7303,0007+7303,2,55466.0,1260.0,,,,Belfore+2011 [ 3rd Fermi symp. ]
J0040-7335,0040-7335,1,59919.7,1.31,0.18,0.056,0.025,New. Also in Carli+24 [ cab+24 ]
J0040-7337,0040-7337,1,60013.13,1810.0,,7.0,,Carli+24 [ cab+24 ]
J0048-7317,0048-7317,1,59707.46,1950.0,,7.0,,Carli+24 [ cab+24 ]
4U_0142+61,0146+6145,1,51141.0,650.0,150.0,14.0,5.0,Morii+2005 [ mks05 ]
4U_0142+61,0146+6145,2,53809.0,1627.0,348.0,11.6,0.4,Gavriil et al. (2011) [ gdk11 ]
B0144+59,0147+5922,1,53682.0,0.056,0.003,-0.21,0.05,Yuan+2010 [ ywml10 ]
B0154+61,0157+6212,1,48512.0,4.0,1.0,-11.0,6.0,"Espinoza+2011 [ elsk11 ], also in Krawczyk+2003 [ klgj03 ]"
B0154+61,0157+6212,2,57116.0,0.74,0.09,,,New - our measurement
B0154+61,0157+6212,3,58283.0,2.6,0.3,,,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,1,52555.0,340.0,110.0,5.0,1.0,Livingstone+2009 [ lrc+09 ]
J0205+6449,0205+6449,2,52920.0,3800.0,400.0,12.0,1.0,Livingstone+2009 [ lrc+09 ]
J0205+6449,0205+6449,3,54907.0,1761.0,7.0,12.0,2.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,4,55719.0,126.0,5.0,3.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,5,55836.0,2933.0,5.0,13.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,6,56854.0,84.0,14.0,3.0,2.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,7,57345.0,527.0,7.0,5.0,1.0,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,8,57696.75,43.0,2.0,,,Basu+2021 [ bsa+21 ]
J0205+6449,0205+6449,9,58320.0,3140.0,50.0,20.0,3.0,Basu+2021 [ bsa+21 ]
J0215+6218,0215+6218,1,55965.0,0.06,0.04,,,Basu+2021 [ bsa+21 ]
B0355+54,0358+5413,1,46082.0,6.0,1.0,6.0,5.0,"Espinoza+2011 [ elsk11 ], also in Lyne (1987) [ lyn87 ]"
B0355+54,0358+5413,2,46470.0,4366.0,1.0,430.0,154.0,"Espinoza+2011 [ elsk11 ], also in Lyne (1987) [ lyn87 ]"
B0402+61,0406+6138,1,53041.0,0.62,0.04,0.5,0.1,Yuan+2010 [ ywml10 ]
B0410+69,0415+6954,1,57120.0,0.011,0.006,,,Basu+2021 [ bsa+21 ]
J0417+35,0417+35,1,57053.63,24.54,0.03,3.4,0.1,Basu+2021 [ bsa+21 ]
B0458+46,0502+4654,1,52616.0,0.33,0.02,0.7,0.2,Espinoza+2011 [ elsk11 ]
B0523+11,0525+1115,1,56010.4,0.312,0.002,0.6,0.2,Basu+2021 [ bsa+21 ]
B0525+21,0528+2200,1,42051.5,1.9,0.2,13.0,5.0,"Espinoza+2011 [ elsk11 ], also in Downs (1982) [ dow82 ]"
B0525+21,0528+2200,2,52296.0,2.3,0.2,7.0,2.0,"Janssen+2006 [ js06 ], also in Yuan+2010 [ ywml10 ]"
B0525+21,0528+2200,3,53379.0,0.2,0.1,,,Janssen+2006 [ js06 ]
B0525+21,0528+2200,4,53980.0,0.5,0.1,0.1,0.1,Yuan+2010 [ ywml10 ]
B0531+21,0534+2200,1,40491.8,7.2,0.4,0.44,0.04,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,2,41161.98,1.9,0.1,0.17,0.01,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,3,41250.32,2.1,0.1,0.11,0.01,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,4,42447.26,35.7,0.3,1.6,0.1,"Espinoza+2011 [ elsk11 ], also in Lohsen (1981) [ loh81 ]"
B0531+21,0534+2200,5,46663.69,6.0,1.0,0.5,0.1,"Espinoza+2011 [ elsk11 ], also in Lyne+1987 [ lp87 ]"
B0531+21,0534+2200,6,47767.504,81.0,0.4,3.4,0.1,"Espinoza+2011 [ elsk11 ], also in Lyne+1992 [ lsp92 ]"
B0531+21,0534+2200,7,48945.6,4.2,0.2,0.32,0.03,"Espinoza+2011 [ elsk11 ], also in Lyne+1993 [ lps93 ] Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,8,50020.04,2.1,0.1,0.2,0.01,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,9,50260.031,31.9,0.1,1.73,0.03,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,10,50458.94,6.1,0.4,1.1,0.1,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,11,50489.7,0.8,0.3,-0.2,0.1,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,12,50812.59,6.2,0.2,0.62,0.04,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,13,51452.02,6.8,0.2,0.7,0.1,"Espinoza+2011 [ elsk11 ], also in Wong+2001 [ wbl01 ]"
B0531+21,0534+2200,14,51740.656,25.1,0.3,2.9,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,15,51804.75,3.5,0.1,0.53,0.03,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,16,52084.072,22.6,0.1,2.07,0.03,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,17,52146.758,8.9,0.1,0.57,0.01,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,18,52498.257,3.4,0.1,0.7,0.02,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,19,52587.2,1.7,0.1,0.5,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,20,53067.078,214.0,1.0,6.2,0.2,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,21,53254.109,4.9,0.1,0.2,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,22,53331.17,2.8,0.2,0.7,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,23,53970.19,21.8,0.2,3.1,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,24,54580.38,4.7,0.1,0.2,0.1,Espinoza+2011 [ elsk11 ]
B0531+21,0534+2200,25,55875.49,39.0,4.0,0.23,0.02,Basu+2021 [ bsa+21 ]
B0531+21,0534+2200,26,57839.8,2.2,0.4,,,Basu+2021 [ bsa+21 ]
B0531+21,0534+2200,27,58064.555,516.37,0.1,6.969,0.021,Shaw+2018; also Basu+2019 [ bkj+19 ]
B0531+21,0534+2200,28,58237.357,4.08,0.22,0.46,0.11,Shaw+2018 (ATel #11625); also Basu+2019 [ bkj+19 ]
B0531+21,0534+2200,29,58470.7,2.3,0.6,,,Basu+2021 [ bsa+21 ]
B0531+21,0534+2200,30,58687.565,31.7,1.2,0.341,0.033,Shaw+2021 [ skl+21 ] Also in Shaw+2019 [ smk+19 ] and Grover+2024 [ gjs+24 ]
B0531+21,0534+2200,31,60872.9,2.33,0.09,0.43,0.04,Shaw+2025 [ bak+25 ]
B0531+21,0534+2200,32,60893.9,4.53,0.17,0.44,0.07,Shaw+2025b [ bak+25b ]
J0537-6910,0537-6910,1,51278.0,687.0,3.0,1.0,1.0,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,2,51562.0,450.0,3.0,0.7,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,3,51711.0,315.0,1.0,0.6,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,4,51826.0,140.0,1.0,0.5,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,5,51881.0,140.0,1.0,0.7,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,6,51960.0,454.0,5.0,0.8,0.5,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,7,52152.0,2.3,0.4,,,Antonopoulou+2018 [ aeka18 ] Also in Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,8,52170.0,184.0,1.0,0.8,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,9,52241.0,426.0,1.0,0.2,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,10,52378.0,168.0,1.0,0.4,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,11,52453.0,218.0,1.0,0.4,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,12,52545.0,420.0,2.0,0.5,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,13,52731.0,146.0,3.0,0.6,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,14,52807.0,255.0,3.0,0.6,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,15,52886.0,234.6,0.3,0.44,0.05,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,16,53014.0,338.0,1.0,0.7,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,17,53125.5,17.0,1.0,0.4,0.3,Antonopoulou+2018 [ aeka18 ]
J0537-6910,0537-6910,18,53145.0,391.1,0.2,0.19,0.04,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,19,53288.0,395.0,1.0,0.7,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,20,53445.0,260.0,1.0,0.9,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,21,53550.0,321.0,1.0,0.7,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,22,53696.0,409.0,3.0,0.7,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,23,53861.0,235.0,1.0,0.8,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,24,53951.3,18.0,1.0,0.3,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ] and Middleditch+2006 [ mmw+06 ]
J0537-6910,0537-6910,25,53999.0,352.0,1.0,0.4,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,26,54094.0,371.0,2.0,0.1,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,27,54243.0,1.0,0.3,,,Antonopoulou+2018 [ aeka18 ]
J0537-6910,0537-6910,28,54271.0,488.0,1.0,0.8,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,29,54448.0,239.0,1.0,0.8,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,30,54538.0,114.0,1.0,0.5,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,31,54578.0,147.0,1.0,0.0,1.0,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,32,54639.0,128.7,0.5,0.4,0.2,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,33,54712.0,105.0,1.0,0.5,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,34,54767.0,362.0,1.0,0.6,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,35,54895.0,341.0,1.0,0.5,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,36,55043.0,217.0,0.5,0.8,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,37,55184.0,209.0,1.0,1.1,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,38,55280.0,549.0,3.0,0.3,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,39,55451.0,169.0,1.0,0.4,0.1,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,40,55519.0,122.0,1.0,0.4,0.3,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,41,55552.0,8.0,2.0,-2.0,2.0,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,42,55587.0,87.0,2.0,1.0,4.0,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,43,55615.0,453.0,2.0,0.2,0.5,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,44,55786.1,14.0,1.0,-0.2,0.2,Antonopoulou+2018 [ aeka18 ]
J0537-6910,0537-6910,45,55819.0,346.0,1.0,0.9,0.4,Antonopoulou+2018 [ aeka18 ] Also in Ferdman+2018 [ fagk18 ]
J0537-6910,0537-6910,46,58083.0,260.51,0.03,0.75,0.15,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,47,58152.0,581.94,0.1,0.8,0.15,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,48,58363.0,126.5,0.8,1.2,0.2,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,49,58424.0,409.0,5.0,1.0,0.5,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,50,58566.0,148.7,0.3,0.45,0.03,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,51,58637.0,435.92,0.16,0.43,0.02,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,52,58807.0,122.3,0.5,1.1,0.15,Ho+2020 [ hea+20 ]
J0537-6910,0537-6910,53,58868.0,387.84,2.08,1.14,0.295,Abbott+2021 [ aaa+21 ]
J0537-6910,0537-6910,54,58993.0,6.639,1.68,0.13,0.421,Abbott+2021 [ aaa+21 ]
J0537-6910,0537-6910,55,59049.0,136.59,0.501,0.671,0.235,Abbott+2021 [ aaa+21 ]
J0537-6910,0537-6910,56,59103.0,546.81,7.2,0.681,0.706,Ho+2022 [ hke+22 ]
J0537-6910,0537-6910,57,59285.0,127.17,0.129,0.47,0.015,Ho+2022 [ hke+22 ]
J0537-6910,0537-6910,58,59351.0,198.25,0.549,0.395,0.11,Ho+2022 [ hke+22 ]
J0537-6910,0537-6910,59,59454.0,268.24,0.162,0.856,0.02,Ho+2022 [ hke+22 ]
J0537-6910,0537-6910,60,59522.0,356.67,0.194,0.305,0.015,New - also in Ho+2022 [ hke+22 ]
J0537-6910,0537-6910,61,59692.0,94.272,0.226,0.43,0.03,New
J0537-6910,0537-6910,62,59741.0,249.46,0.259,0.641,0.045,New
J0537-6910,0537-6910,63,59886.0,393.84,0.0808,0.886,0.01,New
J0537-6910,0537-6910,64,60028.0,549.77,0.646,0.5,0.045,New
J0537-6910,0537-6910,65,60223.0,341.38,0.145,0.525,0.02,New
B0540-69,0540-6919,1,51335.0,1.4,0.2,0.133,0.002,Livingstone+2005 [ lkg05 ]
B0559-05,0601-0527,1,51665.2,0.2,0.1,-0.7,0.1,Espinoza+2011 [ elsk11 ]
B0559-05,0601-0527,2,54347.0,0.05,0.01,0.2,0.2,Basu+2021 [ bsa+21 ]
J0611+1436,0611+1436,1,55818.0,5575.4,0.8,,,Basu+2021 [ bsa+21 ]
J0625+10,0625+10,1,55203.0,0.33,0.05,,,Basu+2021 [ bsa+21 ]
J0625+10,0625+10,2,57676.0,1.17,0.06,0.9,0.2,Basu+2021 [ bsa+21 ]
J0625+10,0625+10,3,58488.0,767.35,0.11,3.15,0.27,New - Our measurement
J0613-0200,0613-0200,1,50888.0,0.0025,0.0001,0.16,0.39,McKee+2016 [ mjs+16 ]
J0631+1036,0631+1036,1,50183.5,4.7,0.1,-0.7,0.1,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,2,50480.1,4.2,0.2,0.1,0.2,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,3,50608.277,57.3,0.1,1.2,0.1,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,4,50729.0,1662.7,0.1,3.5,0.2,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,5,51909.7,1.4,0.1,0.26,0.04,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,6,52852.5,17.6,0.1,2.48,0.04,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ]"
J0631+1036,0631+1036,7,53230.1,1.6,0.1,0.4,0.1,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ]"
J0631+1036,0631+1036,8,53366.0,1.9,0.1,0.3,0.1,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,9,53622.6,1.1,0.1,0.2,0.03,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,10,54099.0,0.4,0.1,-0.2,0.1,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,11,54170.4,1.6,0.1,-0.1,0.1,"Espinoza+2011 [ elsk11 ], also in Yuan+2010 [ ywml10 ]"
J0631+1036,0631+1036,12,54632.53,43.2,0.1,3.3,0.2,Espinoza+2011 [ elsk11 ]
J0631+1036,0631+1036,13,55119.35,9.4,0.4,0.2,0.5,Basu+2021 [ bsa+21 ]
J0631+1036,0631+1036,14,55276.7,7.5,0.6,,,Basu+2021 [ bsa+21 ]
J0631+1036,0631+1036,15,55702.0,3277.9,0.8,2.7,0.6,Basu+2021 [ bsa+21 ]
J0631+1036,0631+1036,16,58341.7,27.8,0.8,,,Basu+2021 [ bsa+21 ]
J0631+1036,0631+1036,17,58352.13,96.4,0.6,1.3,0.3,Basu+2021 [ bsa+21 ]; also in Lower+2021 [ ljd+21 ]
J0633+1746,0633+1746,1,50382.0,0.6,,,,Jackson+2002 [ jhgm02 ]
B0656+14,0659+1414,1,50197.0,0.6,0.4,0.3,0.5,Espinoza+2011 [ elsk11 ]
B0656+14,0659+1414,2,51017.0,1.3,0.1,2.0,1.0,Espinoza+2011 [ elsk11 ]
J0726-2612,0726-2612,1,56913.0,2.8,0.9,-0.6,0.4,New - Our measurement
J0726-2612,0726-2612,2,58791.0,510.0,1.6,1.7,0.7,New - Our measurement
B0727-18,0729-1836,1,51422.0,1.0,0.5,-2.0,3.0,Espinoza+2011 [ elsk11 ]
B0727-18,0729-1836,2,52150.0,4.0,1.0,6.0,2.0,Espinoza+2011 [ elsk11 ]
J0729-1448,0729-1448,1,52010.0,24.8,0.4,1.6,0.3,Espinoza+2011 [ elsk11 ]
J0729-1448,0729-1448,2,54317.7,23.0,1.0,4.0,3.0,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
J0729-1448,0729-1448,3,54483.6,13.0,1.0,1.0,1.0,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
J0729-1448,0729-1448,4,54592.0,12.0,1.0,-2.0,2.0,"Espinoza+2011 [ elsk11 ], also in Yu+2012 [ ymh+12 ]"
J0729-1448,0729-1448,5,54687.0,6676.0,9.0,54.0,5.0,"Espinoza+2011 [ elsk11 ], also in Weltevrede+2010 [ wjm+10 ], Yu+2012 [ ymh+12 ]"
J0729-1448,0729-1448,6,58266.6,3.8,0.4,,,Basu+2019 [ bkj+19 ]
