t_days,flux,flux_err
3.34998,1.03893,0.0724539
4.95844,1.03757,0.0837533
6.89568,0.658799,0.0489993
8.9021,0.841518,0.0530613
9.70266,0.864609,0.0587235
10.0284,0.2591,0.0187379
11.6449,34.782,2.19503
13.436,6.73721,0.456288
14.1797,7.63106,0.51524
16.3001,0.220256,0.0375878
17.7729,1.14244,0.0781752
20.777,1.13327,0.0708696
31.4568,0.884758,0.0617412
32.9373,0.4841,0.0415784
33.5962,2.1021,0.150489
35.6716,0.990934,0.0682829
36.6037,7.84254,0.62311
37.608,2.61079,0.178886
38.8775,1.34462,0.106313
40.6011,1.12794,0.078082
41.8539,0.782353,0.055556
42.9534,0.890044,0.0621346
43.8811,0.166989,0.0178659
45.7583,0.165035,0.0168241
47.2257,1.05003,0.0818283
49.2801,0.319667,0.0305898
51.3538,12.1236,0.898539
52.2319,7.00167,0.511324
53.969,0.764831,0.0569097
57.9626,0.371545,0.0343195
58.711,0.795297,0.0591242
60.3031,9.41808,0.783135
63.9055,0.411198,0.0389471
64.8395,1.20073,0.1072
68.378,0.511229,0.0427366
69.7811,0.202684,0.0170906
70.5138,1.23388,0.0982388
71.3818,0.668568,0.0502736
73.2839,7.41996,0.763507
74.7853,2.77286,0.262095
75.7907,1.06978,0.0888971
77.3318,0.183211,0.0178096
78.2554,0.501549,0.0415691
80.407,7.83869,0.669172
81.5781,0.165459,0.0163144
85.8791,0.165579,0.0158776
86.3317,0.436875,0.0412927
87.4142,0.175835,0.0156342
88.3339,0.617076,0.0518015
89.5509,0.490428,0.042552
91.1525,0.174002,0.0161963
92.6876,0.86189,0.0831468
94.8228,0.115501,0.0131472
95.1044,0.164991,0.0160346
97.1592,0.163328,0.0153957
98.7618,0.211707,0.0183203
99.028,0.473465,0.0424021
100.096,0.604071,0.0559348
101.764,0.569508,0.0526822
102.494,0.659262,0.0597392
107.033,0.15895,0.0183851
109.145,0.140222,0.0166516
112.447,19.3838,2.02021
113.916,0.141898,0.0164211
114.905,0.172359,0.016652
115.238,0.43605,0.0441875
116.11,8.04292,0.805129
118.292,8.35931,0.886164
119.306,0.0895093,0.0184824
121.045,0.39456,0.0408518
124.189,0.141346,0.0162809
125.383,9.5571,0.99521
126.183,0.117021,0.0130876
128.052,19.5285,1.75305
129.054,0.132458,0.0148591
131.338,6.91146,0.628025
133.34,0.170036,0.0158796
134.207,0.130123,0.015596
135.409,0.132169,0.0151769
140.078,0.173889,0.0162598
143.282,0.356519,0.0369557
144.269,0.115652,0.013711
145.471,0.13183,0.0147173
146.682,0.111357,0.0131931
147.347,0.149515,0.0150528
148.339,1.38234,0.127561
149.484,0.152777,0.0154508
152.155,0.523796,0.0565281
158.193,0.167696,0.016713
159.22,0.153415,0.0162166
160.088,0.107916,0.0126263
161.696,2.37242,0.162921
167.243,0.136984,0.0154713
168.167,0.0736059,0.0170534
169.375,0.110472,0.0129587
170.373,0.106582,0.0138104
173.238,0.495253,0.0554419
174.238,0.116028,0.0157215
176.656,0.105726,0.0122972
177.117,0.12707,0.0138218
180.207,0.115485,0.0154692
181.178,0.123882,0.0136115
182.915,0.110053,0.0137263
184.047,0.161305,0.0156293
185.526,0.170903,0.0296631
280.795,6.93236,0.759752
281.795,0.793486,0.097949
282.861,0.111294,0.0127232
283.333,0.073848,0.0133635
286.663,13.0596,1.84396
288.937,0.698416,0.0982774
289.993,0.0759759,0.00990468
293.928,0.105969,0.0124455
295.726,0.715379,0.0909691
298.942,0.0891371,0.0112366
299.134,6.0717,0.63725
300.074,0.0666285,0.0117984
303.875,0.101136,0.0135456
304.072,0.0848547,0.0116671
305.47,0.10696,0.0137431
306.065,0.0626885,0.00946653
308.203,0.0804464,0.0111372
309.138,0.0625313,0.0101936
310.272,0.111342,0.0135211
312.665,0.101305,0.0117656
313.332,0.114264,0.0218703
314.332,0.406051,0.0497006
315.867,0.148914,0.0162773
317.201,8.29854,0.976449
318.135,0.0995294,0.0116375
320.677,1.35175,0.129929
321.81,0.129231,0.0204119
322.614,0.115288,0.0126447
323.808,0.0925741,0.0111293
326.544,0.290434,0.0371385
332.672,0.131169,0.0138125
335.877,2.6489,0.28961
336.855,0.0985366,0.0118898
337.615,0.111753,0.0226404
338.75,0.109272,0.0178124
339.688,0.100555,0.0145474
343.744,0.267842,0.0317513
345.082,0.0846993,0.0109168
345.123,0.0903705,0.0101382
346.404,0.0852804,0.0115812
347.616,0.100992,0.0118185
349.676,0.0824164,0.0111982
351.151,0.0930133,0.0140967
352.413,0.078532,0.0109184
354.802,0.0995873,0.0115609
358.803,0.0731587,0.010489
360.803,0.454307,0.0473636
361.549,4.83411,0.503735
363.412,0.217639,0.031811
364.477,0.0987434,0.0126912
365.412,0.0858974,0.0116811
366.414,0.0903237,0.0118675
368.816,0.11131,0.0213356
370.338,0.0723475,0.0104617
371.483,0.909782,0.0959749
372.415,0.061323,0.010705
373.085,0.0756803,0.0108817
374.481,0.0773811,0.0100861
375.338,0.0763912,0.0101566
376.608,0.0803859,0.0110811
379.204,0.0892976,0.012189
380.271,0.0860886,0.012128
381.471,8.8265,1.12221
382.483,0.0858744,0.0106592
389.335,0.262369,0.0340019
393.599,0.0574708,0.010547
395.808,0.0621326,0.011429
397.539,0.35335,0.0408243
400.329,0.0797217,0.0105768
401.438,0.0610144,0.0087193
407.605,0.0829388,0.0104395
408.526,0.0760824,0.0105005
409.773,0.0999919,0.0119858
412.933,1.24049,0.137782
413.591,0.0720115,0.00949032
418.328,0.0920009,0.0127693
420.738,0.0676405,0.0106773
423.059,0.0690396,0.0104226
426.793,0.0750606,0.0105358
427.925,0.106718,0.0124105
429.663,0.11766,0.0172219
431.539,9.54578,1.28615
432.857,0.0562602,0.0104768
433.657,0.0633042,0.00977224
435.523,0.0809956,0.0101617
440.654,6.53734,0.860392
442.735,0.0941697,0.0208975
443.038,0.0551836,0.00968468
446.799,0.063123,0.00992352
447.798,0.354166,0.0439754
448.798,0.068599,0.0100859
450.796,7.04344,0.83082
452.791,0.0897367,0.0114559
453.86,6.05698,0.822158
454.719,0.0669869,0.0101573
455.718,0.0785537,0.0110415
457.312,0.076431,0.0101227
459.11,0.0450991,0.0088054
460.323,0.0725055,0.0110426
463.308,0.0969061,0.0123746
468.274,0.743354,0.0506019
468.575,0.0660215,0.0094385
471.44,4.44973,0.365296
473.109,0.685642,0.0787099
475.973,0.0713387,0.010871
476.779,0.0876201,0.0139182
479.64,0.453123,0.0597835
480.319,0.235105,0.029735
484.515,0.550172,0.0656721
485.445,0.293596,0.0381827
486.246,0.71631,0.085898
488.446,0.0543348,0.00850646
490.512,0.299326,0.0377682
492.165,0.0702029,0.0101302
495.629,0.058547,0.00908923
496.229,0.0679258,0.00922164
498.205,0.0686126,0.0102929
499.493,0.495824,0.0405725
500.292,0.313535,0.0396905
502.704,0.0505496,0.00961982
503.423,0.101135,0.0119357
504.357,0.0668732,0.0107324
505.422,0.0634447,0.01001
506.088,0.0811767,0.0125545
507.227,0.0517884,0.00874781
508.769,0.073749,0.0180085
509.704,0.0603816,0.0130503
511.7,0.0609471,0.00939836
513.365,0.276646,0.0391012
513.465,0.0568851,0.00713741
514.498,0.0607404,0.0090714
516.082,0.342995,0.0463665
525.359,0.0927346,0.0111346
526.547,0.0495669,0.00975395
529.344,0.0617532,0.00907535
531.75,0.328134,0.0444815
532.012,0.0790254,0.0106558
535.314,5.50435,0.651778
537.081,0.0501185,0.00892269
539.216,0.0710192,0.0125044
541.283,0.0636338,0.00951814
544.132,0.0767199,0.0108845
545.331,0.0559126,0.00889078
549.926,0.0737739,0.013048
550.129,0.0693722,0.0112388
646.018,0.0538919,0.0122841
647.022,0.08616,0.0269505
648.072,0.0588918,0.00999481
651.209,0.297134,0.0381178
654.063,0.085411,0.0208303
656.06,0.0318733,0.0092505
667.704,0.0761161,0.0115501
670.701,0.0720175,0.011434
673.106,0.0502644,0.00976818
676.836,0.0438716,0.0100868
679.89,0.0842491,0.0118969
681.89,0.0665078,0.00999825
687.277,0.128114,0.024136
691.608,0.0593921,0.0104146
692.736,0.1408,0.0250601
693.808,0.0525423,0.0138866
697.656,0.0621378,0.0115342
698.721,0.0483775,0.00997755
701.847,0.0800125,0.0122478
703.644,0.0800681,0.0127226
707.635,0.0539335,0.0109229
709.564,0.039413,0.0114629
710.569,0.0743211,0.0103293
714.701,0.0907545,0.0116522
716.816,0.0582859,0.00994581
717.89,0.0592765,0.0102846
718.48,0.0519048,0.0106398
722.472,0.0417645,0.00993827
723.27,0.438421,0.0526176
725.207,0.0484903,0.0109548
727.736,0.0619269,0.0103649
728.337,0.0479703,0.00969323
729.133,0.0475841,0.0102089
731.131,0.0315538,0.00965399
732.532,0.0682411,0.0112169
736.191,0.0615102,0.00927753
741.842,0.0484851,0.0092167
744.098,0.0627797,0.011343
745.096,0.0601221,0.0124561
750.622,0.0675294,0.0128216
752.755,0.0778742,0.0143966
753.485,0.0554157,0.0117566
754.023,0.0365022,0.00910567
770.444,0.0287793,0.0103517
771.509,0.0707895,0.0103737
772.235,0.0592035,0.0106917
774.774,0.0575699,0.0107653
777.828,0.0708715,0.0102239
778.365,0.0309513,0.00944885
779.754,0.0712811,0.0102963
780.082,0.0542061,0.0114606
782.945,0.0610337,0.0106389
786.399,0.0647517,0.0112666
788.471,0.0652436,0.0108895
792.125,0.0449846,0.0115502
795.717,0.0550648,0.0105318
798.511,0.0541187,0.0109333
799.575,0.0505651,0.0108855
800.576,0.0524184,0.0114082
802.614,0.0670369,0.0158328
808.528,0.0468732,0.0102919
809.827,0.0385836,0.00984391
812.718,0.0578325,0.00969892
814.974,0.0502917,0.0234378
817.331,0.0257968,0.0118964
824.329,0.053433,0.0105148
827.186,0.0484419,0.0104968
832.433,0.0385435,0.00994103
835.957,0.0397596,0.00932448
836.024,0.0495661,0.0106471
837.498,0.0607272,0.010643
840.492,0.0443165,0.00889227
841.688,0.0462058,0.0094287
842.672,0.0412294,0.0154514
844.141,0.0357024,0.00835194
846.267,0.0474179,0.0187572
854.257,0.0491181,0.00965102
856.11,0.017186,0.00957501
861.233,0.0593865,0.00963749
867.415,0.0316914,0.00975108
871.271,0.0358916,0.00951352
877.862,0.0642955,0.01366
879.188,0.0387719,0.00905606
882.179,0.0516749,0.00973603
886.334,0.0598909,0.00948111
887.308,0.0527612,0.00992183
890.768,0.0546119,0.010014
892.564,0.0305171,0.00822808
896.475,0.0631368,0.0111257
897.473,0.0341536,0.00921631
899.533,0.0444555,0.00922593
900.441,0.0518305,0.0101074
901.032,0.0468861,0.0122492
906.448,0.0639154,0.0151755
907.981,0.0565227,0.0105428
908.044,0.0560254,0.0106659
914.57,0.0680398,0.0145578
915.366,0.0552925,0.0107531
1130.34,1.80378,0.0853683
1147.23,10.6104,0.320815
1161.9,1.56881,0.0890436
1163.57,1.19512,0.0704829
1165.41,1.17786,0.076831
1196.39,0.0509889,0.00832189
1197.2,0.0331522,0.00833589
1210.41,0.0543429,0.00861782
1211.48,0.04797,0.00886706
1214.93,0.0486882,0.0138961
1215.53,0.061727,0.00899688
1220.58,0.0414158,0.00746031
1224.18,0.051778,0.00834235
1225.44,0.0548234,0.00855404
1228.1,0.0643684,0.0135959
1229.55,0.0249376,0.00958354
1234.07,0.0528523,0.00810252
1235.6,0.063734,0.00984117
1236.39,0.0507938,0.00833827
1238.39,0.071336,0.00972868
1239.38,0.0493033,0.00832784
1240.38,0.0844347,0.0151172
1244.1,0.0460081,0.00821643
1249.62,0.0558263,0.00869136
1252.69,0.0364658,0.00686228
1253.48,3.31444,0.479384
1256.47,0.0402159,0.00773067
1260.85,0.0464169,0.00942984
1263.12,0.0505261,0.00822898
1264.72,0.050364,0.0108993
1275.47,0.0549314,0.00928595
1277.53,0.0864073,0.0170597
1283.31,0.0468408,0.00762646
1381.9,0.0525976,0.0089305
1384.63,0.0605817,0.00885623
1398.25,0.0559787,0.00973921
1412.74,0.0113002,0.00939983
1417.12,0.0782445,0.0114672
1419.84,1.70018,0.195707
1424.69,0.0543582,0.0083588
1427.75,0.0444615,0.00756844
1431.47,0.030932,0.00815269
1438.49,0.0426003,0.00588699
1438.71,0.0506531,0.00923784
1439.32,0.0412277,0.0126286
1439.45,0.0586431,0.0139384
1439.7,0.0467947,0.0141318
1440.5,0.0742638,0.0221066
1441.04,0.0516353,0.0147011
1442.1,0.0278804,0.0109054
1443.97,0.0391909,0.0133515
1444.09,0.0559513,0.0124288
1444.23,0.0329413,0.0135991
1444.29,0.0129321,0.0066645
1445.02,0.0348654,0.0121497
1445.68,0.0474614,0.0141653
1445.83,0.0714833,0.0147967
1457.38,0.0442391,0.0082426
1458.18,0.0437392,0.00886099
1468.01,0.0378807,0.00894927
1484.61,0.050606,0.00858295
1488.33,0.0462811,0.0111257
1493.25,0.0543353,0.00919954
1495.23,0.0522866,0.00930055
1498.23,0.0603615,0.0100899
1499.3,0.0482446,0.00916609
1501.1,0.0466643,0.00944551
1502.02,0.0253337,0.0068794
1507.74,0.0584394,0.00919025
1513.12,0.0504435,0.00877321
1516.61,0.0576204,0.00996367
1518.5,0.0756782,0.00996893
1521.83,0.0363566,0.00913185
1523.88,0.0443781,0.00908816
1525.6,0.101219,0.0170635
1529.39,0.047521,0.00908028
1533.32,0.049888,0.00814378
1538.44,0.0566785,0.00933675
1543.29,0.0552244,0.00838784
1545.28,0.0298534,0.00914447
1562.88,0.0634025,0.00913653
1563.74,0.0284291,0.00923086
1568.59,0.054526,0.0085758
1572.11,0.0440965,0.00823035
1576.67,0.0519706,0.010967
1577.37,0.0523264,0.00813704
1578.23,0.0597897,0.00861016
1580.22,0.0555333,0.00845935
1582.48,0.055083,0.0103282
1591.25,0.0484399,0.00870037
1594.03,0.0382631,0.00704125
1595.56,0.115909,0.0196175
1599.41,0.0492566,0.00840512
1600.22,0.0667782,0.0089732
1604.06,0.0506036,0.0109113
1605.32,0.0472533,0.00842028
1606.53,0.0549815,0.00841991
1611.18,0.0476713,0.00790175
1619.22,0.0329814,0.00653113
1620.68,0.0493926,0.00819757
1623.27,0.0404618,0.00746734
1627.07,0.0564698,0.0101866
1628.32,0.0571228,0.00915863
1629.25,0.0439009,0.0091733
1633.25,0.0499759,0.00918167
1635.02,0.0497231,0.00954618
1636.62,0.0693425,0.015441
1638.15,0.0466796,0.00850711
1642.92,0.0564132,0.00983713
1645.11,0.0561034,0.00932152
1647.93,0.0510484,0.00798591
1649.06,0.0480721,0.0111001
1742.82,0.0873028,0.0142981
1743.82,0.0464325,0.00934348
1744.75,0.0433564,0.00887574
1747.07,0.0461118,0.00804144
1748.07,0.0242689,0.00822652
1752.16,0.0494285,0.00755294
1761.54,0.0452296,0.0100837
1763.47,0.0398537,0.00905247
1764.2,0.0351253,0.00814803
1767.46,0.0366172,0.00783793
1769.12,0.0421921,0.00863099
1772.17,0.0426823,0.0138068
1781.8,0.103939,0.0440965
1783.8,0.0493388,0.00794806
